obj_id,ra,dec,equinox,priority,exp_time,resolution,comment
z4qso1_7692688,28.948734,-6.353594,J2000,0,7200,L,
z4qso2_9289686,30.361012,-6.796681,J2000,0,7200,L,
z4qso3_3218592,30.217218,-6.698544,J2000,0,5400,L,
z4qso4_5036937,29.684889,-6.495947,J2000,0,7200,L,
z4qso5_0014403,29.7173,-6.295585,J2000,0,6300,L,
z4qso6_4636711,31.735338,-6.215064,J2000,0,6300,L,
z4qso7_6593959,31.205889,-6.69726,J2000,0,6300,L,
z4qso8_6596849,31.225843,-6.61025,J2000,0,4500,L,
z4qso9_0567169,30.966272,-6.812509,J2000,0,5400,L,
z4qso10_5138821,33.120728,-6.253644,J2000,0,5400,L,
z4qso11_3671664,34.862846,-6.019549,J2000,0,7200,L,
z4qso12_4526521,34.213356,-6.057991,J2000,0,7200,L,
z4qso13_8570116,33.946053,-6.757759,J2000,0,5400,L,
z4qso14_1426341,36.576618,-7.005713,J2000,0,4500,L,
z4qso15_3109713,35.945522,-6.136696,J2000,0,5400,L,
z4qso16_2097755,30.08664107,-6.297231943,J2000,3,3600,L,
z4qso17_4684896,31.67479342,-6.595213756,J2000,3,3600,L,
z4qso18_6180623,33.23430658,-6.325551192,J2000,3,3600,L,
z4qso19_8013959,32.69860702,-6.07249546,J2000,3,3600,L,
z4qso20_9820277,35.03961766,-6.448134392,J2000,3,3600,L,
z4qso21_8777742,34.96197544,-6.414506041,J2000,3,3600,L,
z4qso22_7458421,33.78046132,-6.376622135,J2000,3,3600,L,
z4qso23_0279933,30.58254639,-6.44020141,J2000,7,3600,L,
z4qso24_8250175,30.33563959,-6.816086505,J2000,7,3600,L,
z4qso25_8185815,30.23583271,-6.51943128,J2000,7,3600,L,
z4qso26_8154470,136.0853652,-2.256613637,J2000,9,3600,L,
